item_id,programme_id,level,item_name,part
CM-P1-L106-P2,CM-P1,106,"Simple Data Types (integers, strings)",2
CM-P1-L107-P2,CM-P1,107,"Simple Data Types (integers, strings)",2
CM-P1-L108-P2,CM-P1,108,"Simple Data Types (integers, strings)",2
CM-P1-L109-P2,CM-P1,109,"Simple Data Types (integers, strings)",2
CM-P1-L110-P2,CM-P1,110,"Simple Data Types (integers, strings)",2
CM-P1-L111-P2,CM-P1,111,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L112-P2,CM-P1,112,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L113-P2,CM-P1,113,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L114-P2,CM-P1,114,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L115-P2,CM-P1,115,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L116-P2,CM-P1,116,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L117-P2,CM-P1,117,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L118-P2,CM-P1,118,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L119-P2,CM-P1,119,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L120-P2,CM-P1,120,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L121-P2,CM-P1,121,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L122-P2,CM-P1,122,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L123-P2,CM-P1,123,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L124-P2,CM-P1,124,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L125-P2,CM-P1,125,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L126-P2,CM-P1,126,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L127-P2,CM-P1,127,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L128-P2,CM-P1,128,"Advanced Data Types (dictionary, set, tuple)",2
CM-P1-L129-P2,CM-P1,129,2D Lists,2
CM-P1-L130-P2,CM-P1,130,2D Lists,2
CM-P1-L131-P2,CM-P1,131,2D Lists,2
CM-P1-L132-P2,CM-P1,132,2D Lists,2
CM-P1-L133-P2,CM-P1,133,2D Lists,2
CM-P1-L134-P2,CM-P1,134,2D Lists,2
CM-P1-L135-P2,CM-P1,135,2D Lists,2
CM-P1-L136-P2,CM-P1,136,2D Lists,2
CM-P1-L137-P2,CM-P1,137,2D Lists,2
CM-P1-L138-P2,CM-P1,138,2D Lists,2
CM-P1-L139-P2,CM-P1,139,2D Lists,2
CM-P1-L140-P2,CM-P1,140,2D Lists,2
CM-P1-L141-P2,CM-P1,141,2D Lists,2
CM-P1-L142-P2,CM-P1,142,Bubble Sort,2
CM-P1-L143-P2,CM-P1,143,Bubble Sort,2
CM-P1-L144-P2,CM-P1,144,Bubble Sort,2
CM-P1-L145-P2,CM-P1,145,Bubble Sort,2
CM-P1-L146-P2,CM-P1,146,Bubble Sort,2
CM-P1-L147-P2,CM-P1,147,Bubble Sort,2
CM-P1-L148-P2,CM-P1,148,Bubble Sort,2
CM-P1-L149-P2,CM-P1,149,Bubble Sort,2
CM-P1-L150-P2,CM-P1,150,Bubble Sort,2
CS1-L1,CS1,1,Basic Syntax,
CS1-L2,CS1,2,Basic Syntax,
CS1-L3,CS1,3,Sequencing,
CS1-L4,CS1,4,Arguments,
CS1-L5,CS1,5,Strings,
CS1-L6,CS1,6,While-True Loops,
CS1-L7,CS1,7,While-True Loops,
CS1-L8,CS1,8,While-True Loops,
