item_id,programme_id,programme_name,kit,level,sequence,item_name
AIK-Lv3_original-9.0,AIK-Lv3_original,AIKIRO Lv3_original,AIKIRO,Lv3_original,9.0,Pilot
AIK-Lv3_original-10.0,AIK-Lv3_original,AIKIRO Lv3_original,AIKIRO,Lv3_original,10.0,Ball Collecting Robot
AIK-Lv3_original-11.0,AIK-Lv3_original,AIKIRO Lv3_original,AIKIRO,Lv3_original,11.0,Tractor
AIK-Lv3_original-12.0,AIK-Lv3_original,AIKIRO Lv3_original,AIKIRO,Lv3_original,12.0,Penguin
AIK-Lv3_additional-1.0,AIK-Lv3_additional,AIKIRO Lv3_additional,AIKIRO,Lv3_additional,1.0,Electric Car
AIK-Lv3_additional-2.0,AIK-Lv3_additional,AIKIRO Lv3_additional,AIKIRO,Lv3_additional,2.0,Tidying-up Robot
AIK-Lv3_additional-3.0,AIK-Lv3_additional,AIKIRO Lv3_additional,AIKIRO,Lv3_additional,3.0,Hammer Arcade Machine
AIK-Lv3_additional-4.0,AIK-Lv3_additional,AIKIRO Lv3_additional,AIKIRO,Lv3_additional,4.0,Maze Bot
AIK-Lv3_additional-5.0,AIK-Lv3_additional,AIKIRO Lv3_additional,AIKIRO,Lv3_additional,5.0,Pelican
AIK-Lv3_additional-6.0,AIK-Lv3_additional,AIKIRO Lv3_additional,AIKIRO,Lv3_additional,6.0,Kangaroo
AIK-Lv3_additional-7.0,AIK-Lv3_additional,AIKIRO Lv3_additional,AIKIRO,Lv3_additional,7.0,Horseback-riding Bot
AIK-Lv3_additional-8.0,AIK-Lv3_additional,AIKIRO Lv3_additional,AIKIRO,Lv3_additional,8.0,Ferris Wheel
AIK-Lv4_original-1.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,1.0,Claw Bot
AIK-Lv4_original-2.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,2.0,Owl
AIK-Lv4_original-3.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,3.0,DJ
AIK-Lv4_original-4.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,4.0,Snail
AIK-Lv4_original-5.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,5.0,Dinosaur
AIK-Lv4_original-6.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,6.0,Chicken
AIK-Lv4_original-7.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,7.0,Space Exploration
AIK-Lv4_original-8.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,8.0,Bicycle
AIK-Lv4_original-9.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,9.0,Excavator
AIK-Lv4_original-10.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,10.0,Kendo Bot
AIK-Lv4_original-11.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,11.0,Drifting Car
AIK-Lv4_original-12.0,AIK-Lv4_original,AIKIRO Lv4_original,AIKIRO,Lv4_original,12.0,Industrial Robot
AIK-Lv4_additional-1.0,AIK-Lv4_additional,AIKIRO Lv4_additional,AIKIRO,Lv4_additional,1.0,Parrot
AIK-Lv4_additional-2.0,AIK-Lv4_additional,AIKIRO Lv4_additional,AIKIRO,Lv4_additional,2.0,Safe
AIK-Lv4_additional-3.0,AIK-Lv4_additional,AIKIRO Lv4_additional,AIKIRO,Lv4_additional,3.0,Face Bot
AIK-Lv4_additional-4.0,AIK-Lv4_additional,AIKIRO Lv4_additional,AIKIRO,Lv4_additional,4.0,Mine Detection Bot
AIK-Lv4_additional-5.0,AIK-Lv4_additional,AIKIRO Lv4_additional,AIKIRO,Lv4_additional,5.0,Knight Bot
AIK-Lv4_additional-6.0,AIK-Lv4_additional,AIKIRO Lv4_additional,AIKIRO,Lv4_additional,6.0,Submarine
AIK-Lv4_additional-7.0,AIK-Lv4_additional,AIKIRO Lv4_additional,AIKIRO,Lv4_additional,7.0,Robot Arm
AIK-Lv4_additional-8.0,AIK-Lv4_additional,AIKIRO Lv4_additional,AIKIRO,Lv4_additional,8.0,Dog Sled
ROB-Level 1-2.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,2.0,EasyBot
ROB-Level 1-3.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,3.0,HouseBot
ROB-Level 1-4.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,4.0,HelicopterBot
ROB-Level 1-5.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,5.0,RaceBot
ROB-Level 1-6.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,6.0,RabbitBot
ROB-Level 1-7.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,7.0,DeliveryBot
ROB-Level 1-8.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,8.0,PetBot
ROB-Level 1-9.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,9.0,SensingBot
ROB-Level 1-10.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,10.0,ControlBot
