level,topic
Lv 1,Advanced Algorithms
Lv 2,Advanced Algorithms
Lv 3,Advanced Algorithms
Lv 4,Advanced Algorithms
Lv 5,String Manipulation
Lv 6,String Manipulation
Lv 7,String Manipulation
Lv 8,String Manipulation
Lv 9,String Manipulation
Lv 10,String Manipulation
Lv 11,Advanced Algorithms
Lv 12,Advanced Algorithms
Lv 13,Trigonometry
Lv 14,Trigonometry
Lv 15,Trigonometry
Lv 16,Trigonometry
Lv 17,Trigonometry
Lv 18,Trigonometry
Lv 19,Trigonometry
Lv 20,Dynamic Target Tracking
Lv 21,Dynamic Target Tracking
Lv 22,Dynamic Target Tracking
Lv 23,Dynamic Target Tracking
Lv 24,Dynamic Target Tracking
Lv 25,Advanced Mathematics
Lv 26,Advanced Mathematics
Lv 27,Advanced Mathematics
Lv 28,Advanced Mathematics
