level,topic
Lv 1,Basic Syntax
Lv 2,Basic Syntax
Lv 3,Sequencing
Lv 4,Arguments
Lv 5,Strings
Lv 6,While-True Loops
Lv 7,While-True Loops
Lv 8,While-True Loops
Lv 9,While-True Loops
Lv 10,While-True Loops
Lv 11,While-True Loops
Lv 12,While-True Loops
Lv 13,While-True Loops
Lv 14,While-True Loops
Lv 15,Variables
Lv 16,Variables
Lv 17,Variables
Lv 18,Variables
Lv 19,Variables
Lv 20,Variables
Lv 21,Variables
Lv 22,Variables
Lv 23,Variables
Lv 24,Variables
Lv 25,Variables
Lv 26,Variables
Lv 27,Variables
Lv 28,Variables
Lv 29,Variables
Lv 30,Variables
Lv 31,Multiplayer Capstone Arena
